#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Sat Nov 22 11:17:12 2025
# Process ID: 1432632
# Current directory: /home/m7malhot/e3mehta-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/m7malhot/e3mehta-pd6/build/output/xsim.log
# Journal file: /home/m7malhot/e3mehta-pd6/build/output/xsim.jou
# Running On: eceubuntu1, OS: Linux, CPU Frequency: 2300.030 MHz, CPU Physical cores: 6, Host memory: 67266 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 01000ad0 0 00 00000000
[W] 01000ad4 0 00 00000000
[W] 01000ad8 0 00 00000000
[W] 01000adc 0 00 00000000
[W] 01000ae0 0 00 00000000
[W] 01000ae4 0 00 00000000
[W] 01000ae8 0 00 00000000
[W] 01000aec 0 00 00000000
[W] 01000af0 0 00 00000000
[W] 01000af4 0 00 00000000
[W] 01000af8 0 00 00000000
[W] 01000afc 0 00 00000000
[W] 01000b00 0 00 00000000
[W] 01000b04 0 00 00000000
[W] 01000b08 0 00 00000000
[W] 01000b0c 0 00 00000000
[W] 01000b10 0 00 00000000
[W] 01000b14 0 00 00000000
[W] 01000b18 0 00 00000000
[W] 01000b1c 0 00 00000000
[W] 01000b20 0 00 00000000
[W] 01000b24 0 00 00000000
[W] 01000b28 0 00 00000000
[W] 01000b2c 0 00 00000000
[W] 01000b30 0 00 00000000
[W] 01000b34 0 00 00000000
[W] 01000b38 0 00 00000000
[W] 01000b3c 0 00 00000000
[W] 01000b40 0 00 00000000
[W] 01000b44 0 00 00000000
[W] 01000b48 0 00 00000000
[W] 01000b4c 0 00 00000000
[W] 01000b50 0 00 00000000
[W] 01000b54 0 00 00000000
[W] 01000b58 0 00 00000000
[W] 01000b5c 0 00 00000000
[W] 01000b60 0 00 00000000
[W] 01000b64 0 00 00000000
[W] 01000b68 0 00 00000000
[W] 01000b6c 0 00 00000000
[W] 01000b70 0 00 00000000
[W] 01000b74 0 00 00000000
[W] 01000b78 0 00 00000000
[W] 01000b7c 0 00 00000000
[W] 01000b80 0 00 00000000
[W] 01000b84 0 00 00000000
[W] 01000b88 0 00 00000000
[W] 01000b8c 0 00 00000000
[W] 01000b90 0 00 00000000
[W] 01000b94 0 00 00000000
[W] 01000b98 0 00 00000000
[W] 01000b9c 0 00 00000000
[W] 01000ba0 0 00 00000000
[W] 01000ba4 0 00 00000000
[W] 01000ba8 0 00 00000000
[W] 01000bac 0 00 00000000
[W] 01000bb0 0 00 00000000
[W] 01000bb4 0 00 00000000
[W] 01000bb8 0 00 00000000
[W] 01000bbc 0 00 00000000
[W] 01000bc0 0 00 00000000
[W] 01000bc4 0 00 00000000
[W] 01000bc8 0 00 00000000
[W] 01000bcc 0 00 00000000
[W] 01000bd0 0 00 00000000
[W] 01000bd4 0 00 00000000
[W] 01000bd8 0 00 00000000
[W] 01000bdc 0 00 00000000
[W] 01000be0 0 00 00000000
[W] 01000be4 0 00 00000000
[W] 01000be8 0 00 00000000
[W] 01000bec 0 00 00000000
[W] 01000bf0 0 00 00000000
[W] 01000bf4 0 00 00000000
[W] 01000bf8 0 00 00000000
[W] 01000bfc 0 00 00000000
[W] 01000c00 0 00 00000000
[W] 01000c04 0 00 00000000
[W] 01000c08 0 00 00000000
[W] 01000c0c 0 00 00000000
[W] 01000c10 0 00 00000000
[W] 01000c14 0 00 00000000
[W] 01000c18 0 00 00000000
[W] 01000c1c 0 00 00000000
[W] 01000c20 0 00 00000000
[W] 01000c24 0 00 00000000
[W] 01000c28 0 00 00000000
[W] 01000c2c 0 00 00000000
[W] 01000c30 0 00 00000000
[W] 01000c34 0 00 00000000
[W] 01000c38 0 00 00000000
[W] 01000c3c 0 00 00000000
[W] 01000c40 0 00 00000000
[W] 01000c44 0 00 00000000
[W] 01000c48 0 00 00000000
[W] 01000c4c 0 00 00000000
## exit
INFO: [Common 17-206] Exiting xsim at Sat Nov 22 11:17:19 2025...
